"species","area","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex"
"Adelie","NYE",39.1,18.7,181,3750,"male"
"Adelie","NYE",39.5,17.4,186,3800,"female"
"Adelie","NYE",40.3,18,195,3250,"female"
"Adelie","NYE",36.7,19.3,193,3450,"female"
"Adelie","NYE",39.3,20.6,190,3650,"male"
"Adelie","NYE",38.9,17.8,181,3625,"female"
"Adelie","NYE",39.2,19.6,195,4675,"male"
"Adelie","NYE",41.1,17.6,182,3200,"female"
"Adelie","NYE",38.6,21.2,191,3800,"male"
"Adelie","NYE",34.6,21.1,198,4400,"male"
"Adelie","NYE",36.6,17.8,185,3700,"female"
"Adelie","NYE",38.7,19,195,3450,"female"
"Adelie","NYE",42.5,20.7,197,4500,"male"
"Adelie","NYE",34.4,18.4,184,3325,"female"
"Adelie","NYE",46,21.5,194,4200,"male"
"Adelie","WST",37.8,18.3,174,3400,"female"
"Adelie","WST",37.7,18.7,180,3600,"male"
"Adelie","WST",35.9,19.2,189,3800,"female"
"Adelie","WST",38.2,18.1,185,3950,"male"
"Adelie","WST",38.8,17.2,180,3800,"male"
"Adelie","WST",35.3,18.9,187,3800,"female"
"Adelie","WST",40.6,18.6,183,3550,"male"
"Adelie","WST",40.5,17.9,187,3200,"female"
"Adelie","WST",37.9,18.6,172,3150,"female"
"Adelie","WST",40.5,18.9,180,3950,"male"
"Adelie","TXS",39.5,16.7,178,3250,"female"
"Adelie","TXS",37.2,18.1,178,3900,"male"
"Adelie","TXS",39.5,17.8,188,3300,"female"
"Adelie","TXS",40.9,18.9,184,3900,"male"
"Adelie","TXS",36.4,17,195,3325,"female"
"Adelie","TXS",39.2,21.1,196,4150,"male"
"Adelie","TXS",38.8,20,190,3950,"male"
"Adelie","TXS",42.2,18.5,180,3550,"female"
"Adelie","TXS",37.6,19.3,181,3300,"female"
"Adelie","TXS",39.8,19.1,184,4650,"male"
"Adelie","TXS",36.5,18,182,3150,"female"
"Adelie","TXS",40.8,18.4,195,3900,"male"
"Adelie","TXS",36,18.5,186,3100,"female"
"Adelie","TXS",44.1,19.7,196,4400,"male"
"Adelie","TXS",37,16.9,185,3000,"female"
"Adelie","TXS",39.6,18.8,190,4600,"male"
"Adelie","TXS",41.1,19,182,3425,"male"
"Adelie","TXS",36,17.9,190,3450,"female"
"Adelie","TXS",42.3,21.2,191,4150,"male"
"Adelie","WST",39.6,17.7,186,3500,"female"
"Adelie","WST",40.1,18.9,188,4300,"male"
"Adelie","WST",35,17.9,190,3450,"female"
"Adelie","WST",42,19.5,200,4050,"male"
"Adelie","WST",34.5,18.1,187,2900,"female"
"Adelie","WST",41.4,18.6,191,3700,"male"
"Adelie","WST",39,17.5,186,3550,"female"
"Adelie","WST",40.6,18.8,193,3800,"male"
"Adelie","WST",36.5,16.6,181,2850,"female"
"Adelie","WST",37.6,19.1,194,3750,"male"
"Adelie","WST",35.7,16.9,185,3150,"female"
"Adelie","WST",41.3,21.1,195,4400,"male"
"Adelie","WST",37.6,17,185,3600,"female"
"Adelie","WST",41.1,18.2,192,4050,"male"
"Adelie","WST",36.4,17.1,184,2850,"female"
"Adelie","WST",41.6,18,192,3950,"male"
"Adelie","WST",35.5,16.2,195,3350,"female"
"Adelie","WST",41.1,19.1,188,4100,"male"
"Adelie","NYE",35.9,16.6,190,3050,"female"
"Adelie","NYE",41.8,19.4,198,4450,"male"
"Adelie","NYE",33.5,19,190,3600,"female"
"Adelie","NYE",39.7,18.4,190,3900,"male"
"Adelie","NYE",39.6,17.2,196,3550,"female"
"Adelie","NYE",45.8,18.9,197,4150,"male"
"Adelie","NYE",35.5,17.5,190,3700,"female"
"Adelie","NYE",42.8,18.5,195,4250,"male"
"Adelie","NYE",40.9,16.8,191,3700,"female"
"Adelie","NYE",37.2,19.4,184,3900,"male"
"Adelie","NYE",36.2,16.1,187,3550,"female"
"Adelie","NYE",42.1,19.1,195,4000,"male"
"Adelie","NYE",34.6,17.2,189,3200,"female"
"Adelie","NYE",42.9,17.6,196,4700,"male"
"Adelie","NYE",36.7,18.8,187,3800,"female"
"Adelie","NYE",35.1,19.4,193,4200,"male"
"Adelie","TXS",37.3,17.8,191,3350,"female"
"Adelie","TXS",41.3,20.3,194,3550,"male"
"Adelie","TXS",36.3,19.5,190,3800,"male"
"Adelie","TXS",36.9,18.6,189,3500,"female"
"Adelie","TXS",38.3,19.2,189,3950,"male"
"Adelie","TXS",38.9,18.8,190,3600,"female"
"Adelie","TXS",35.7,18,202,3550,"female"
"Adelie","TXS",41.1,18.1,205,4300,"male"
"Adelie","TXS",34,17.1,185,3400,"female"
"Adelie","TXS",39.6,18.1,186,4450,"male"
"Adelie","TXS",36.2,17.3,187,3300,"female"
